编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
372	高等数学B(一)	信息与计算科学系		4	0	100	王秋庭	"7-16,7-17,7-17"	"?50102,30102,10102"	"教一楼三区105,教一楼三区105,教一楼三区105"	必修	学科基础平台课程
373	信息安全导论	计算机科学教研室		1	0	90	贺娟娟	7月14日	?50506	教三楼408（黄家湖）	必修	专业核心课程
374	电子商务专业导航	市场营销系		0.5	0	58	"陈祥兵,王鑫鑫"	"7-10,7-10"	"?30506,30506"	"管理楼112,管理楼112"	必修	专业核心课程
375	大学生心理健康教育	学工处通识课程教研室		1	1	133	李苑	9月16日	?50708	教一楼一区202	必修	通识教育平台课程
376	大学生心理健康教育	学工处通识课程教研室		1	0	134	朱明	9月16日	?30304	教一楼一区203	必修	通识教育平台课程
377	大学生心理健康教育	学工处通识课程教研室		1	0	100	张曦	9月16日	?10910	教一楼一区206	必修	通识教育平台课程
378	大学生心理健康教育	学工处通识课程教研室		1	0	100	许辉	9月16日	?10910	教一楼一区305	必修	通识教育平台课程
379	大学生心理健康教育	学工处通识课程教研室		1	0	134	朱大琴	9月16日	?50102	教一楼一区201	必修	通识教育平台课程
380	大学生心理健康教育	学工处通识课程教研室		1	0	134	熊田田	9月16日	?40304	教一楼一区303	必修	通识教育平台课程
381	大学生心理健康教育	学工处通识课程教研室		1	0	134	崔亚岚	9月16日	?10910	教一楼一区101	必修	通识教育平台课程
382	大学生心理健康教育	学工处通识课程教研室		1	0	153	刘帅	9月16日	?10910	教四楼一区101	必修	通识教育平台课程
383	大学生心理健康教育	学工处通识课程教研室		1	0	100	田永胜	9月16日	?10506	教一楼一区204	必修	通识教育平台课程
384	医用高等数学A	信息与计算科学系		3	0	134	陈建发	"7-18,7-18"	"?40304,20304"	"教一楼三区405,教一楼三区405"	必修	学科基础平台课程
385	网络科学与工程导论	计算机科学教研室		1	0	117	顾进广	7月14日	?10506	汽车楼204	必修	学科基础平台课程
386	建筑与规划基础（1）	建筑学教研室		4.5	0	50	"肖霄,龙燕"	"11-18,11-18,11-18,11-18"	"?105060708,305060708,105060708,305060708"	"教六楼二区106,教六楼二区106,教六楼二区106,教六楼二区106"	必修	学科基础平台课程
387	会计学专业导航	财务会计系		0.5	0	100	"白露珍,周莉,黎精明"	"7-10,7-10,7-10"	"?40304,40304,40304"	"教一楼三区204,教一楼三区204,教一楼三区204"	必修	学科基础平台课程
